run number, score, number of levels, total steps, total elapsed time
265, 100.0, 3, 312, 0.2581937313079834
266, 600.0, 3, 802, 0.6547460556030273
267, 290.0, 3, 2772, 2.060248851776123
268, 200.0, 3, 338, 0.2702512741088867
269, 150.0, 3, 318, 0.25940728187561035
270, 200.0, 3, 472, 0.381558895111084
271, 200.0, 3, 287, 0.22378253936767578
272, 0.0, 3, 194, 0.15253853797912598
273, 100.0, 3, 244, 0.19539523124694824
274, 0.0, 3, 207, 0.16448187828063965
275, 200.0, 3, 535, 0.44011855125427246
276, 150.0, 3, 219, 0.17226386070251465
277, 250.0, 3, 400, 0.32007384300231934
278, 150.0, 3, 520, 0.4311826229095459
279, 350.0, 3, 710, 0.5705742835998535
280, 150.0, 3, 490, 0.40694355964660645
281, 100.0, 3, 199, 0.15546751022338867
282, 250.0, 3, 381, 0.3083484172821045
283, 50.0, 3, 203, 0.15988945960998535
284, 250.0, 3, 309, 0.25130581855773926
285, 100.0, 3, 230, 0.18811869621276855
286, 0.0, 3, 240, 0.19339585304260254
287, 0.0, 3, 210, 0.1675269603729248
288, 420.0, 3, 1207, 0.9190869331359863
289, 50.0, 3, 202, 0.15936660766601562
290, 240.0, 3, 203, 0.15767383575439453
291, 200.0, 3, 439, 0.3656651973724365
292, 0.0, 3, 206, 0.1654815673828125
293, 150.0, 3, 216, 0.16593503952026367
294, 150.0, 3, 379, 0.305896520614624
295, 50.0, 3, 306, 0.24258708953857422
296, 200.0, 3, 286, 0.23142170906066895
297, 100.0, 3, 255, 0.20407485961914062
298, 100.0, 3, 240, 0.1922907829284668
299, 100.0, 3, 248, 0.1977403163909912
300, 400.0, 3, 495, 0.39745235443115234
301, 150.0, 3, 345, 0.2737917900085449
302, 150.0, 3, 508, 0.4164772033691406
303, 200.0, 3, 192, 0.14821243286132812
304, 200.0, 3, 307, 0.24205994606018066
305, 0.0, 3, 203, 0.15923523902893066
306, 200.0, 3, 404, 0.3333256244659424
307, 300.0, 3, 457, 0.35745787620544434
308, 350.0, 3, 486, 0.39606666564941406
309, 50.0, 3, 265, 0.21657156944274902
310, 300.0, 3, 498, 0.40524983406066895
311, 50.0, 3, 297, 0.240586519241333
312, 100.0, 3, 301, 0.2433156967163086
313, 250.0, 3, 426, 0.35838985443115234
314, 0.0, 3, 212, 0.17509007453918457
315, 250.0, 3, 329, 0.26448822021484375
316, 150.0, 3, 370, 0.31145620346069336
317, 50.0, 3, 332, 0.2718038558959961
318, 50.0, 3, 256, 0.2081758975982666
319, 200.0, 3, 304, 0.24253463745117188
320, 0.0, 3, 202, 0.16025233268737793
321, 50.0, 3, 307, 0.24827098846435547
322, 100.0, 3, 397, 0.328479528427124
323, 150.0, 3, 253, 0.20304584503173828
324, 0.0, 3, 243, 0.1990983486175537
325, 150.0, 3, 336, 0.2774016857147217
326, 100.0, 3, 232, 0.1799335479736328
327, 150.0, 3, 244, 0.19541454315185547
328, 200.0, 3, 377, 0.3202815055847168
329, 100.0, 3, 209, 0.1660304069519043
330, 150.0, 3, 315, 0.2575807571411133
331, 100.0, 3, 202, 0.16037201881408691
332, 200.0, 3, 295, 0.23618102073669434
333, 50.0, 3, 283, 0.22326970100402832
334, 150.0, 3, 241, 0.19040870666503906
335, 50.0, 3, 257, 0.21218204498291016
336, 150.0, 3, 315, 0.25536513328552246
337, 200.0, 3, 291, 0.23062920570373535
338, 350.0, 3, 1291, 1.0383002758026123
339, 450.0, 3, 652, 0.53912353515625
340, 100.0, 3, 237, 0.1887495517730713
341, 250.0, 3, 371, 0.2959728240966797
342, 300.0, 3, 402, 0.3268396854400635
